PARTICIPANT_CODE,DISTRICT,POSTCODE
0059167HST,BLOEMFONTEIN,9312
0059178HST,VREDE,2970
0059182HST,NIGEL,1490
0442345HST,KRUGERSDORP,1884
0442332HST,HEIDELBERG(TVL),2400
0442358HST,SPRINGBOK,8290
0442360HST,MARQUARD,9600
0442373HST,EAST LONDON,2195
0442386HST,HEILBRON,9415
0442413JSE,MALMESBURY,7655
0442482JSE,WELLINGTON,7654
0442563HST,ESTCOURT,3340
0442629JSE,CAMPERDOWN,3730
0442059JSE,DELAREYVILLE,2760
0442168JSE,SOMERSET-EAST,5810
0058410HST,QUEENSTOWN,5323
0058423HST,MOOI RIVER,3301
0058436HST,DELMAS,2200
0058449HST,KROONSTAD,1510
0058451HST,EXCELSIOR,9760
0058464HST,KROONSTAD,9500
0441792HST,ALBERT,9670
0441817HST,BELFAST,1170
0441817JSE,BELFAST,1170
0441858HST,PORT ELIZABETH,6055
0441926HST,BETHLEHEM,9700
0059519HST,BLOEMFONTEIN,9338
0059519JSE,BLOEMFONTEIN,9338
0059521HST,BOSHOF,9348
0059534HST,PARYS,9585
0059547HST,VANDERBIJLPARK,1900
0059550HST,DEWETSDORP,9940
0059562HST,DEWETSDORP,9940
0059575HST,LICHTENBURG,2610
0059588HST,THEUNISSEN,9410
0059590HST,BULTFONTEIN,9670
0059602HST,BETHLEHEM,9703
0059615HST,CAPE,7945
0059628HST,BELLVILLE,7303
0059630HST,FICKSBURG,9730
0059643HST,EXCELSIOR,9760
0101487HST,ERMELO,2320
0059656HST,HOWICK,3290
0059669HST,ZIMBABWE,0
0059671HST,HOWICK,3290
0059684HST,HOWICK,3290
0059697HST,JOHANNESBURG,2000
0059709HST,KOPPIES,9540
0059711HST,BETHLEHEM,9700
0441288JSE,BETHLEHEM,9700
0441290JSE,REDDERSBURG,9322
0442292HST,CLOCOLAN,9746
0441520JSE,MOSSEL BAY,6520
0059724HST,VREDE,2455
0059737HST,POLOKWANE,700
0059741HST,CRADOCK,5880
0059752HST,BLOEMFONTEIN,9301
0059765HST,ODENDAALSRUS,9480
0059778HST,BLOEMFONTEIN,9325
0059780HST,WOLMARANSSTAD,2640
0059793HST,HARTSWATER,8550
0059805HST,VEREENIGING,1960
0059818HST,MARQUARD,9610
0059820HST,ALEXANDRIA,6185
0059820JSE,ALEXANDRIA,6185
0059833HST,BETHULIE,9992
0059846HST,QUEENSTOWN,5320
0059859HST,ZIMBABWE,0
0059861HST,ZIMBABWE,0
0059874HST,EXCELSIOR,9770
0059901HST,KIRKWOOD,6115
0059887HST,GRAHAMSTOWN,6140
0059893HST,SENEKAL,9600
0059927HST,BETHAL,2265
0059927JSE,NIGEL,2265
0059914HST,LADYSMITH,2900
0059932HST,ADELAIDE,5760
0059942HST,VILJOENSKROON,9520
0059955HST,KROONSTAD,9500
0059968HST,KROONSTAD,9500
0059970HST,CRADOCK,5880
0440897HST,LICHTENBURG,2610
0441057HST,BALFOUR,2420
0441153HST,VRYBURG,8603
0441166HST,REITZ,9810
0441179HST,BETHAL,2310
0441194JSE,ERMELO,2375
0441221JSE,LOUWSBURG,3150
0440666HST,PORT ELIZABETH,6000
0440681HST,ERMELO,2320
0440694HST,WORCESTER,6850
0440706HST,MALMESBURY,7345
0440719HST,VEREENIGING,1960
0440721HST,RIVERSDALE,6770
0440734HST,KROONSTAD,9500
0440747HST,HARRISMITH,9880
0440754HST,UNDERBERG,4590
0440762HST,RIVERSDALE,6770
0440815JSE,FRANKFORT,9830
0440909HST,UMLAZI,5100
0440978JSE,LADYSMITH,3370
0440980JSE,HOWICK,4000
0440993JSE,TULBAGH,9000
0440299HST,CRADOCK,5883
0440476JSE,HEIDELBERG(CAPE),6743
0440491JSE,VOLKSRUST,2465
0441601HST,GREYTOWN,3500
0441627HST,BREDASDORP,7280
0441465HST,PIETERMARITZBURG,3760
0441764JSE,PRETORIA,7
0059438HST,BLOEMFONTEIN,9338
0059440HST,ALICE,5700
0059453HST,RAYTON,1020
